Metabolite;Volume;Time;GF mice CLZ data;Used for fitting
M1_feces;3;0;0.000000000000000000000000000000000000000000000000000000000000;0.000000000000000000000000000000000000000000000000000000000000
M1_feces;3;0.5;NaN;NaN
M1_feces;3;1;NaN;NaN
M1_feces;3;1.5;NaN;NaN
M1_feces;3;2;NaN;NaN
M1_feces;3;2.5;NaN;NaN
M1_feces;3;3;0.035097933911290790653936255694134160876274108886718750000000;0.035097933911290790653936255694134160876274108886718750000000
M1_feces;3;5;0.057780205022558150940170662579475902020931243896484375000000;0.057780205022558150940170662579475902020931243896484375000000
M1_feces;3;7;0.092148465392347903013536836169805610552430152893066406250000;0.092148465392347903013536836169805610552430152893066406250000
M1_feces;3;9;0.287049161620088366664305112863075919449329376220703125000000;0.287049161620088366664305112863075919449329376220703125000000
M1_feces;3;12;0.662858707165157379215258970361901447176933288574218750000000;0.662858707165157379215258970361901447176933288574218750000000
M3_serum;30;0;0.000065988012733274157726667819012789095722837373614311218262;0.000065988012733274157726667819012789095722837373614311218262
M3_serum;30;0.5;0.000700132548872748803302223929989622774883173406124114990234;0.000700132548872748803302223929989622774883173406124114990234
M3_serum;30;1;0.001910458691576500788594783486473716038744896650314331054688;0.001910458691576500788594783486473716038744896650314331054688
M3_serum;30;1.5;0.002221914378006725927783282514837992493994534015655517578125;0.002221914378006725927783282514837992493994534015655517578125
M3_serum;30;2;0.003635542893675150662169404114365534042008221149444580078125;0.003635542893675150662169404114365534042008221149444580078125
M3_serum;30;2.5;0.004601911709823708687694399088741192827001214027404785156250;0.004601911709823708687694399088741192827001214027404785156250
M3_serum;30;3;0.018728830249478266301021989193031913600862026214599609375000;0.018728830249478266301021989193031913600862026214599609375000
M3_serum;30;5;0.016903139420508424273226211198561941273510456085205078125000;0.016903139420508424273226211198561941273510456085205078125000
M3_serum;30;7;0.017566805861838563629362397477962076663970947265625000000000;0.017566805861838563629362397477962076663970947265625000000000
M3_serum;30;9;0.016206182527260980935635004129835579078644514083862304687500;0.016206182527260980935635004129835579078644514083862304687500
M3_serum;30;12;0.014469667242350176677989637141763523686677217483520507812500;0.014469667242350176677989637141763523686677217483520507812500
M1_serum;30;0;0.000000000000000000000000000000000000000000000000000000000000;0.000000000000000000000000000000000000000000000000000000000000
M1_serum;30;0.5;0.029365229760038368683749965271090331953018903732299804687500;0.029365229760038368683749965271090331953018903732299804687500
M1_serum;30;1;0.067656223623820094248415557558473665267229080200195312500000;0.067656223623820094248415557558473665267229080200195312500000
M1_serum;30;1.5;0.060966336622154934654638225310918642207980155944824218750000;0.060966336622154934654638225310918642207980155944824218750000
M1_serum;30;2;0.091126251030524157981105304315860848873853683471679687500000;0.091126251030524157981105304315860848873853683471679687500000
M1_serum;30;2.5;0.100316434395093773135343440117139834910631179809570312500000;0.100316434395093773135343440117139834910631179809570312500000
M1_serum;30;3;0.052542547823593951927811929181189043447375297546386718750000;0.052542547823593951927811929181189043447375297546386718750000
M1_serum;30;5;0.069486737711783236326468227161967661231756210327148437500000;0.069486737711783236326468227161967661231756210327148437500000
M1_serum;30;7;0.100047540785907648763775057432212634012103080749511718750000;0.100047540785907648763775057432212634012103080749511718750000
M1_serum;30;9;0.111519114551170472893204532738309353590011596679687500000000;0.111519114551170472893204532738309353590011596679687500000000
M1_serum;30;12;0.100398339946644529763197795091400621458888053894042968750000;0.100398339946644529763197795091400621458888053894042968750000
P_urine;2;0;0.002000000000000;
P_urine;2;0.5;NaN;
P_urine;2;1;NaN;
P_urine;2;1.5;NaN;
P_urine;2;2;NaN;
P_urine;2;2.5;NaN;
P_urine;2;3;0.452000000000000;
P_urine;2;5;1.358000000000000;
P_urine;2;7;1.209000000000000;
P_urine;2;9;0.872000000000000;
P_urine;2;12;0.588000000000000;
M1_urine;2;0;0.002000000000000;
M1_urine;2;0.5;NaN;
M1_urine;2;1;NaN;
M1_urine;2;1.5;NaN;
M1_urine;2;2;NaN;
M1_urine;2;2.5;NaN;
M1_urine;2;3;0.010000000000000;
M1_urine;2;5;0.709000000000000;
M1_urine;2;7;1.276000000000000;
M1_urine;2;9;0.959000000000000;
M1_urine;2;12;1.051000000000000;
M3_urine;2;0;0.007000000000000;
M3_urine;2;0.5;NaN;
M3_urine;2;1;NaN;
M3_urine;2;1.5;NaN;
M3_urine;2;2;NaN;
M3_urine;2;2.5;NaN;
M3_urine;2;3;0.086000000000000;
M3_urine;2;5;0.265000000000000;
M3_urine;2;7;0.582000000000000;
M3_urine;2;9;0.387000000000000;
M3_urine;2;12;0.545000000000000;
P_si1;0.3;0;0.000000000000000;
P_si1;0.3;0.5;NaN;
P_si1;0.3;1;NaN;
P_si1;0.3;1.5;NaN;
P_si1;0.3;2;NaN;
P_si1;0.3;2.5;NaN;
P_si1;0.3;3;4.328228482000000;
P_si1;0.3;5;5.230053692000000;
P_si1;0.3;7;2.521313402000000;
P_si1;0.3;9;8.822598645000000;
P_si1;0.3;12;1.620608776000000;
P_si2;0.3;0;0.000000000000000;
P_si2;0.3;0.5;NaN;
P_si2;0.3;1;NaN;
P_si2;0.3;1.5;NaN;
P_si2;0.3;2;NaN;
P_si2;0.3;2.5;NaN;
P_si2;0.3;3;9.836000000000000;
P_si2;0.3;5;1.913000000000000;
P_si2;0.3;7;1.057000000000000;
P_si2;0.3;9;1.530000000000000;
P_si2;0.3;12;0.940000000000000;
P_si3;0.3;0;0.000000000000000;
P_si3;0.3;0.5;NaN;
P_si3;0.3;1;NaN;
P_si3;0.3;1.5;NaN;
P_si3;0.3;2;NaN;
P_si3;0.3;2.5;NaN;
P_si3;0.3;3;2.268000000000000;
P_si3;0.3;5;0.905000000000000;
P_si3;0.3;7;1.699000000000000;
P_si3;0.3;9;1.065000000000000;
P_si3;0.3;12;0.939000000000000;
M2_urine;2;0;0.191000000000000;
M2_urine;2;0.5;NaN;
M2_urine;2;1;NaN;
M2_urine;2;1.5;NaN;
M2_urine;2;2;NaN;
M2_urine;2;2.5;NaN;
M2_urine;2;3;0.344000000000000;
M2_urine;2;5;1.186000000000000;
M2_urine;2;7;1.437000000000000;
M2_urine;2;9;1.483000000000000;
M2_urine;2;12;0.850000000000000;
