Metabolite;Volume;Time;CV mice CLZ data;Used for fitting
M1_feces;0.25;2.5;NaN;NaN
M1_feces;0.25;3;NaN;NaN
M1_feces;0.25;5;0.000000000000000000000000000000000000000000000000000000000000;0.000000000000000000000000000000000000000000000000000000000000
M1_feces;0.25;7;0.002982664783136681693753722299788933014497160911560058593750;0.002982664783136681693753722299788933014497160911560058593750
M1_feces;0.25;9;0.000485225539083329344275385963669577904511243104934692382813;0.000485225539083329344275385963669577904511243104934692382813
M1_feces;0.25;12;0.000000000000000000000000000000000000000000000000000000000000;0.000000000000000000000000000000000000000000000000000000000000
P_serum;30;0;0;
P_serum;30;0.5;0.546;
P_serum;30;1;1.343;
P_serum;30;1.5;1.251;
P_serum;30;2;1.61;
P_serum;30;2.5;1.199;
P_serum;30;3;1.052;
P_serum;30;5;0.707;
P_serum;30;7;0.635;
P_serum;30;9;0.522;
P_serum;30;12;0.175;
P_urine;2;0;0;
P_urine;2;0.5;NaN;
P_urine;2;1;NaN;
P_urine;2;1.5;NaN;
P_urine;2;2;NaN;
P_urine;2;2.5;NaN;
P_urine;2;3;0.339;
P_urine;2;5;0.574;
P_urine;2;7;0.826;
P_urine;2;9;0.935;
P_urine;2;12;0.444;
M1_si1;0.3;0;0;
M1_si1;0.3;0.5;NaN;
M1_si1;0.3;1;NaN;
M1_si1;0.3;1.5;NaN;
M1_si1;0.3;2;NaN;
M1_si1;0.3;2.5;NaN;
M1_si1;0.3;3;5.644;
M1_si1;0.3;5;1.952;
M1_si1;0.3;7;2.529;
M1_si1;0.3;9;3.302;
M1_si1;0.3;12;0.627;
M1_si2;0.3;0;0;
M1_si2;0.3;0.5;NaN;
M1_si2;0.3;1;NaN;
M1_si2;0.3;1.5;NaN;
M1_si2;0.3;2;NaN;
M1_si2;0.3;2.5;NaN;
M1_si2;0.3;3;2.827;
M1_si2;0.3;5;7.978;
M1_si2;0.3;7;4.711;
M1_si2;0.3;9;3.711;
M1_si2;0.3;12;2.817;
M1_si3;0.3;0;0;
M1_si3;0.3;0.5;NaN;
M1_si3;0.3;1;NaN;
M1_si3;0.3;1.5;NaN;
M1_si3;0.3;2;NaN;
M1_si3;0.3;2.5;NaN;
M1_si3;0.3;3;0.767;
M1_si3;0.3;5;5.024;
M1_si3;0.3;7;2.19;
M1_si3;0.3;9;2.415;
M1_si3;0.3;12;4.483;
M1_serum;30;0;0;
M1_serum;30;0.5;0.019;
M1_serum;30;1;0.06;
M1_serum;30;1.5;0.063;
M1_serum;30;2;0.109;
M1_serum;30;2.5;0.117;
M1_serum;30;3;0.07;
M1_serum;30;5;0.074;
M1_serum;30;7;0.073;
M1_serum;30;9;0.085;
M1_serum;30;12;0.044;
M3_serum;30;0;0;
